Month,Housing,Bills & Utilities,Food & Dining,Personal,Auto & Transport,Health & Fitness
Jan, £800.00 , £210.00 , £400.00 , £100.00 , £100.00 , £60.00 
Feb, £800.00 , £180.00 , £350.00 , £100.00 , £125.00 , £70.00 
Mar, £800.00 , £170.00 , £420.00 , £100.00 , £120.00 , £60.00 
Apr, £800.00 , £160.00 , £400.00 , £120.00 , £100.00 , £60.00 
May, £800.00 , £150.00 , £420.00 , £100.00 , £100.00 , £80.00 
Jun, £800.00 , £150.00 , £380.00 , £100.00 , £130.00 , £60.00 
Jul, £800.00 , £150.00 , £420.00 , £120.00 , £100.00 , £60.00 
Aug, £800.00 , £150.00 , £420.00 , £100.00 , £100.00 , £80.00 
Sep, £800.00 , £150.00 , £400.00 , £120.00 , £110.00 , £60.00 
Oct, £800.00 , £170.00 , £420.00 , £100.00 , £100.00 , £60.00 
Nov, £800.00 , £200.00 , £390.00 , £120.00 , £100.00 , £50.00 
Dec, £800.00 , £220.00 , £400.00 , £100.00 , £115.00 , £60.00 
